available_at,direction,event_id,lower,timeframe,upper,zone_type
2022-04-26 08:27:00,BULLISH,D1-20220425-BULLISH,13549.9,M1,13552.0,BREAKER
2022-04-26 11:25:00,BULLISH,D1-20220425-BULLISH,13498.4,M1,13506.6,BREAKER
2022-04-26 11:13:00,BULLISH,D1-20220425-BULLISH,13470.0,M1,13478.4,BREAKER
2022-04-26 10:57:00,BULLISH,D1-20220425-BULLISH,13450.1,M1,13463.8,BREAKER
2022-04-26 12:07:00,BULLISH,D1-20220425-BULLISH,13506.7,M1,13509.5,BREAKER
2022-04-26 13:05:00,BULLISH,D1-20220425-BULLISH,13503.9,M1,13506.8,BREAKER
2022-04-26 14:30:00,BULLISH,D1-20220425-BULLISH,13483.8,M1,13488.0,BREAKER
2022-04-26 14:33:00,BULLISH,D1-20220425-BULLISH,13470.9,M1,13475.1,BREAKER
2022-04-26 19:31:00,BULLISH,D1-20220425-BULLISH,13178.5,M1,13195.6,BREAKER
2022-04-26 18:46:00,BULLISH,D1-20220425-BULLISH,13123.1,M1,13131.8,BREAKER
2022-04-26 19:59:00,BULLISH,D1-20220425-BULLISH,13189.1,M1,13201.1,BREAKER
2022-04-26 21:57:00,BULLISH,D1-20220425-BULLISH,13176.5,M1,13188.8,BREAKER
2022-05-03 21:00:00,BULLISH,D1-20220502-BULLISH,13125.1,M15,13143.7,BREAKER
2022-05-03 10:15:00,BULLISH,D1-20220502-BULLISH,13074.5,M5,13087.1,BREAKER
2022-05-03 20:40:00,BULLISH,D1-20220502-BULLISH,13095.4,M5,13144.1,BREAKER
2022-05-03 02:30:00,BULLISH,D1-20220502-BULLISH,13046.0,M1,13049.3,BREAKER
2022-05-03 10:03:00,BULLISH,D1-20220502-BULLISH,13059.0,M1,13062.8,BREAKER
2022-05-03 04:54:00,BULLISH,D1-20220502-BULLISH,13107.5,M1,13112.4,BREAKER
2022-05-03 09:04:00,BULLISH,D1-20220502-BULLISH,13099.3,M1,13103.8,BREAKER
2022-05-03 05:45:00,BULLISH,D1-20220502-BULLISH,13148.5,M1,13151.2,BREAKER
2022-05-03 20:18:00,BULLISH,D1-20220502-BULLISH,13143.6,M1,13144.8,BREAKER
2022-05-03 07:37:00,BULLISH,D1-20220502-BULLISH,13135.2,M1,13137.7,BREAKER
2022-05-03 07:18:00,BULLISH,D1-20220502-BULLISH,13127.9,M1,13130.0,BREAKER
2022-05-03 08:19:00,BULLISH,D1-20220502-BULLISH,13133.9,M1,13135.9,BREAKER
2022-05-03 17:03:00,BULLISH,D1-20220502-BULLISH,13129.1,M1,13132.0,BREAKER
2022-05-03 11:04:00,BULLISH,D1-20220502-BULLISH,13095.0,M1,13103.3,BREAKER
2022-05-03 11:04:00,BULLISH,D1-20220502-BULLISH,13100.5,M1,13103.5,BREAKER
2022-05-03 10:57:00,BULLISH,D1-20220502-BULLISH,13082.1,M1,13089.7,BREAKER
2022-05-03 15:41:00,BULLISH,D1-20220502-BULLISH,13101.6,M1,13104.6,BREAKER
2022-05-03 12:17:00,BULLISH,D1-20220502-BULLISH,13067.2,M1,13073.1,BREAKER
2022-05-03 15:21:00,BULLISH,D1-20220502-BULLISH,13077.6,M1,13081.1,BREAKER
2022-05-03 16:27:00,BULLISH,D1-20220502-BULLISH,13081.2,M1,13083.0,BREAKER
2022-05-03 17:08:00,BULLISH,D1-20220502-BULLISH,13093.1,M1,13102.9,BREAKER
2022-05-03 16:59:00,BULLISH,D1-20220502-BULLISH,13014.6,M1,13063.0,BREAKER
2022-05-03 20:20:00,BULLISH,D1-20220502-BULLISH,13120.3,M1,13139.9,BREAKER
2022-05-03 20:01:00,BULLISH,D1-20220502-BULLISH,13073.7,M1,13083.5,BREAKER
2022-05-03 22:01:00,BULLISH,D1-20220502-BULLISH,13103.1,M1,13116.3,BREAKER
2022-05-03 23:07:00,BULLISH,D1-20220502-BULLISH,13111.2,M1,13130.1,BREAKER
2022-05-03 22:55:00,BULLISH,D1-20220502-BULLISH,13070.3,M1,13086.0,BREAKER
2022-05-20 15:50:00,BULLISH,D1-20220519-BULLISH,12000.4,M5,12010.5,BREAKER
2022-05-20 23:10:00,BULLISH,D1-20220519-BULLISH,11794.0,M5,11816.5,BREAKER
2022-05-20 02:43:00,BULLISH,D1-20220519-BULLISH,11917.6,M1,11919.8,BREAKER
2022-05-20 04:14:00,BULLISH,D1-20220519-BULLISH,11954.6,M1,11958.2,BREAKER
2022-05-20 07:31:00,BULLISH,D1-20220519-BULLISH,11993.1,M1,12004.9,BREAKER
2022-05-20 05:56:00,BULLISH,D1-20220519-BULLISH,11984.6,M1,11987.9,BREAKER
2022-05-20 05:31:00,BULLISH,D1-20220519-BULLISH,11976.4,M1,11980.1,BREAKER
2022-05-20 05:20:00,BULLISH,D1-20220519-BULLISH,11967.8,M1,11972.6,BREAKER
2022-05-20 06:11:00,BULLISH,D1-20220519-BULLISH,11976.6,M1,11980.9,BREAKER
2022-05-20 08:53:00,BULLISH,D1-20220519-BULLISH,12003.7,M1,12010.7,BREAKER
2022-05-20 10:20:00,BULLISH,D1-20220519-BULLISH,12005.1,M1,12010.5,BREAKER
2022-05-20 14:59:00,BULLISH,D1-20220519-BULLISH,12058.4,M1,12061.7,BREAKER
2022-05-20 14:39:00,BULLISH,D1-20220519-BULLISH,12044.4,M1,12047.4,BREAKER
2022-05-20 14:37:00,BULLISH,D1-20220519-BULLISH,12045.3,M1,12049.8,BREAKER
2022-05-20 15:24:00,BULLISH,D1-20220519-BULLISH,12047.5,M1,12052.3,BREAKER
2022-05-20 16:27:00,BULLISH,D1-20220519-BULLISH,12029.4,M1,12035.9,BREAKER
2022-05-20 16:44:00,BULLISH,D1-20220519-BULLISH,11990.2,M1,12018.6,BREAKER
2022-05-20 22:30:00,BULLISH,D1-20220519-BULLISH,11641.0,M1,11656.5,BREAKER
2022-05-20 20:48:00,BULLISH,D1-20220519-BULLISH,11592.6,M1,11601.9,BREAKER
2022-05-20 19:51:00,BULLISH,D1-20220519-BULLISH,11561.5,M1,11580.9,BREAKER
2022-05-20 20:36:00,BULLISH,D1-20220519-BULLISH,11558.4,M1,11567.8,BREAKER
2022-05-20 21:55:00,BULLISH,D1-20220519-BULLISH,11591.1,M1,11613.8,BREAKER
2022-05-20 21:46:00,BULLISH,D1-20220519-BULLISH,11545.2,M1,11563.0,BREAKER
2022-06-15 14:45:00,BULLISH,D1-20220614-BULLISH,11377.6,M15,11423.2,BREAKER
2022-06-15 02:15:00,BULLISH,D1-20220614-BULLISH,11303.6,M15,11332.9,BREAKER
2022-06-15 09:30:00,BULLISH,D1-20220614-BULLISH,11384.5,M5,11390.2,BREAKER
2022-06-15 09:00:00,BULLISH,D1-20220614-BULLISH,11363.6,M5,11370.8,BREAKER
2022-06-15 21:55:00,BULLISH,D1-20220614-BULLISH,11509.2,M5,11555.1,BREAKER
2022-06-15 04:28:00,BULLISH,D1-20220614-BULLISH,11392.3,M1,11397.5,BREAKER
2022-06-15 05:39:00,BULLISH,D1-20220614-BULLISH,11394.5,M1,11399.1,BREAKER
2022-06-15 09:01:00,BULLISH,D1-20220614-BULLISH,11366.3,M1,11367.7,BREAKER
2022-06-15 08:51:00,BULLISH,D1-20220614-BULLISH,11358.9,M1,11360.5,BREAKER
2022-06-15 09:04:00,BULLISH,D1-20220614-BULLISH,11351.5,M1,11356.6,BREAKER
2022-06-15 09:04:00,BULLISH,D1-20220614-BULLISH,11350.7,M1,11355.8,BREAKER
2022-06-15 11:00:00,BULLISH,D1-20220614-BULLISH,11377.0,M1,11387.3,BREAKER
2022-06-15 12:45:00,BULLISH,D1-20220614-BULLISH,11390.3,M1,11393.5,BREAKER
2022-06-15 13:44:00,BULLISH,D1-20220614-BULLISH,11377.3,M1,11382.5,BREAKER
2022-06-15 15:36:00,BULLISH,D1-20220614-BULLISH,11421.8,M1,11431.8,BREAKER
2022-06-15 17:06:00,BULLISH,D1-20220614-BULLISH,11489.9,M1,11507.7,BREAKER
2022-06-15 19:06:00,BULLISH,D1-20220614-BULLISH,11486.5,M1,11499.7,BREAKER
2022-06-15 21:01:00,BULLISH,D1-20220614-BULLISH,11526.9,M1,11534.9,BREAKER
2022-06-15 20:58:00,BULLISH,D1-20220614-BULLISH,11512.1,M1,11517.4,BREAKER
2022-06-15 21:01:00,BULLISH,D1-20220614-BULLISH,11497.2,M1,11501.9,BREAKER
2022-06-30 18:45:00,BULLISH,D1-20220629-BULLISH,11481.6,M15,11523.2,BREAKER
2022-06-30 18:45:00,BULLISH,D1-20220629-BULLISH,11496.3,M15,11527.2,BREAKER
2022-06-30 18:55:00,BULLISH,D1-20220629-BULLISH,11537.9,M5,11548.7,BREAKER
2022-06-30 18:35:00,BULLISH,D1-20220629-BULLISH,11496.3,M5,11523.3,BREAKER
2022-06-30 18:05:00,BULLISH,D1-20220629-BULLISH,11390.4,M5,11436.2,BREAKER
2022-06-30 02:40:00,BULLISH,D1-20220629-BULLISH,11639.2,M1,11641.3,BREAKER
2022-06-30 05:35:00,BULLISH,D1-20220629-BULLISH,11627.2,M1,11631.2,BREAKER
2022-06-30 04:32:00,BULLISH,D1-20220629-BULLISH,11609.3,M1,11612.8,BREAKER
2022-06-30 05:17:00,BULLISH,D1-20220629-BULLISH,11612.1,M1,11615.1,BREAKER
2022-06-30 19:28:00,BULLISH,D1-20220629-BULLISH,11621.1,M1,11623.6,BREAKER
2022-06-30 19:27:00,BULLISH,D1-20220629-BULLISH,11618.6,M1,11619.2,BREAKER
2022-06-30 19:27:00,BULLISH,D1-20220629-BULLISH,11612.9,M1,11617.6,BREAKER
2022-06-30 08:17:00,BULLISH,D1-20220629-BULLISH,11609.1,M1,11611.4,BREAKER
2022-06-30 09:04:00,BULLISH,D1-20220629-BULLISH,11555.6,M1,11561.7,BREAKER
2022-06-30 18:32:00,BULLISH,D1-20220629-BULLISH,11532.9,M1,11537.3,BREAKER
2022-06-30 10:45:00,BULLISH,D1-20220629-BULLISH,11490.7,M1,11499.9,BREAKER
2022-06-30 10:36:00,BULLISH,D1-20220629-BULLISH,11478.4,M1,11483.9,BREAKER
2022-06-30 15:35:00,BULLISH,D1-20220629-BULLISH,11504.1,M1,11509.1,BREAKER
2022-06-30 14:29:00,BULLISH,D1-20220629-BULLISH,11475.8,M1,11480.2,BREAKER
2022-06-30 14:19:00,BULLISH,D1-20220629-BULLISH,11466.4,M1,11470.7,BREAKER
2022-06-30 15:27:00,BULLISH,D1-20220629-BULLISH,11479.6,M1,11482.9,BREAKER
2022-06-30 16:11:00,BULLISH,D1-20220629-BULLISH,11494.4,M1,11501.6,BREAKER
2022-06-30 18:29:00,BULLISH,D1-20220629-BULLISH,11516.2,M1,11552.6,BREAKER
2022-06-30 18:22:00,BULLISH,D1-20220629-BULLISH,11481.3,M1,11505.2,BREAKER
2022-06-30 18:51:00,BULLISH,D1-20220629-BULLISH,11529.1,M1,11542.5,BREAKER
2022-06-30 20:55:00,BULLISH,D1-20220629-BULLISH,11618.9,M1,11632.3,BREAKER
2022-06-30 20:33:00,BULLISH,D1-20220629-BULLISH,11581.4,M1,11590.7,BREAKER
2022-06-30 22:32:00,BULLISH,D1-20220629-BULLISH,11510.4,M1,11517.4,BREAKER
2022-06-30 22:53:00,BULLISH,D1-20220629-BULLISH,11461.3,M1,11472.6,BREAKER
2022-08-12 17:30:00,BEARISH,D1-20220811-BEARISH,13434.7,M15,13491.0,BREAKER
2022-08-12 04:25:00,BEARISH,D1-20220811-BEARISH,13309.7,M5,13313.9,BREAKER
2022-08-12 15:00:00,BEARISH,D1-20220811-BEARISH,13349.1,M5,13358.1,BREAKER
2022-08-12 16:40:00,BEARISH,D1-20220811-BEARISH,13371.8,M5,13380.9,BREAKER
2022-08-12 01:22:00,BEARISH,D1-20220811-BEARISH,13309.0,M1,13310.8,BREAKER
2022-08-12 01:48:00,BEARISH,D1-20220811-BEARISH,13303.7,M1,13306.4,BREAKER
2022-08-12 04:19:00,BEARISH,D1-20220811-BEARISH,13307.0,M1,13308.5,BREAKER
2022-08-12 03:14:00,BEARISH,D1-20220811-BEARISH,13310.2,M1,13312.2,BREAKER
2022-08-12 04:54:00,BEARISH,D1-20220811-BEARISH,13304.0,M1,13307.4,BREAKER
2022-08-12 10:18:00,BEARISH,D1-20220811-BEARISH,13318.2,M1,13319.8,BREAKER
2022-08-12 10:18:00,BEARISH,D1-20220811-BEARISH,13318.4,M1,13319.4,BREAKER
2022-08-12 10:18:00,BEARISH,D1-20220811-BEARISH,13319.8,M1,13322.1,BREAKER
2022-08-12 08:48:00,BEARISH,D1-20220811-BEARISH,13324.9,M1,13326.9,BREAKER
2022-08-12 10:04:00,BEARISH,D1-20220811-BEARISH,13324.7,M1,13325.9,BREAKER
2022-08-12 10:02:00,BEARISH,D1-20220811-BEARISH,13332.3,M1,13333.4,BREAKER
2022-08-12 14:05:00,BEARISH,D1-20220811-BEARISH,13334.4,M1,13338.8,BREAKER
2022-08-12 12:02:00,BEARISH,D1-20220811-BEARISH,13369.2,M1,13372.8,BREAKER
2022-08-12 13:34:00,BEARISH,D1-20220811-BEARISH,13360.7,M1,13365.0,BREAKER
2022-08-12 15:21:00,BEARISH,D1-20220811-BEARISH,13370.7,M1,13373.7,BREAKER
2022-08-12 16:35:00,BEARISH,D1-20220811-BEARISH,13365.9,M1,13373.5,BREAKER
2022-09-15 13:30:00,BULLISH,D1-20220914-BULLISH,12133.0,M5,12140.8,BREAKER
